file	ours	status	z3	cvc5	agree
UFDT/20170428-Barrett/cdt-cade2015/data/afp/bindag/x2015_09_10_16_52_38_278_1003962.smt_in.smt2	unsat	unsat	none	unsat	DISAGREEMENT-NONE
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_16_55_51_081_1423271.smt_in.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_02_05_187_1799661.smt_in.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_06_44_729_2179233.smt_in.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_07_49_253_2267795.smt_in.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_09_21_908_2391122.smt_in.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_09_44_488_2419498.smt_in.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_10_31_591_2481579.smt_in.smt2	unsat	unknown	none	unsat	DISAGREEMENT-NONE
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_14_06_194_2692958.smt_in.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_16_03_091_2754904.smt_in.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_17_17_04_260_2787558.smt_in.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDT/20170428-Barrett/cdt-cade2015/data/afp/huffman/x2015_09_10_16_49_25_717_1182749.smt_in.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDT/20170428-Barrett/cdt-cade2015/data/afp/sorted_list_operations/x2015_09_10_16_48_09_219_1095072.smt_in.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDT/20170428-Barrett/cdt-cade2015/data/distro/gram_lang/x2015_09_10_16_54_17_037_1466089.smt_in.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDT/20170428-Barrett/cdt-cade2015/data/distro/process/x2015_09_10_16_46_18_557_1034243.smt_in.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDT/20170428-Barrett/cdt-cade2015/data/distro/rbt_impl/x2015_09_10_16_54_57_752_1482883.smt_in.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDT/20170428-Barrett/cdt-cade2015/data/distro/rbt_impl/x2015_09_10_16_55_56_854_1611455.smt_in.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDT/20170428-Barrett/rec-fun-ijcar2016/wo-wdf/isa_nun_bench_v4_enc/nunchaku2222179.nun.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
UFDT/20170428-Barrett/rec-fun-ijcar2016/wo/isa_nun_bench_v4_noenc/nunchaku1853957.nun.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
