index	file	verdict	wall_ms
1	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sal/carpark/Carpark2-ausgabe-8.smt2	unknown	24637
2	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sal/gasburner/gasburner-prop3-12.smt2	unknown	24131
3	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sal/gasburner/gasburner-prop3-9.smt2	unknown	24131
4	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sal/pursuit/pursuit-safety-16.smt2	unknown	24934
5	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sal/pursuit/pursuit-safety-5.smt2	unknown	24333
6	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sal/tgc/tgc_io-nosafe-4.smt2	unknown	24231
7	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sal/tgc/tgc_io-safe-20.smt2	unknown	25032
8	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sc/sc-5.base.cvc.smt2	unknown	24432
9	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sc/sc-7.base.cvc.smt2	unknown	24132
10	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sc/sc-9.base.cvc.smt2	unknown	24232
11	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sc/sc-11.base.cvc.smt2	unknown	24131
12	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sc/sc-13.base.cvc.smt2	unknown	24232
13	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sc/sc-15.base.cvc.smt2	unknown	24432
14	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sc/sc-17.base.cvc.smt2	unknown	24332
15	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sc/sc-19.base.cvc.smt2	unknown	24434
16	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sc/sc-21.base.cvc.smt2	unknown	24634
17	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sc/sc-23.base.cvc.smt2	unknown	24534
18	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sc/sc-25.base.cvc.smt2	unknown	24834
19	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/spider_benchmarks/frame_prop.base.smt2	unsat	6113
20	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/spider_benchmarks/fs_not_sc_seen.base.smt2	unsat	4310
21	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/spider_benchmarks/no_op_accs.base.smt2	unsat	17925
22	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/spider_benchmarks/reint_to_least.base.smt2	unknown	24232
