1218	2	positive	assert>and	UFNIA/lahiri-cav09-storm-queries/daytona_example_2_3_8_2.smt2
1218	2	positive	assert>and	UFNIA/lahiri-cav09-storm-queries/daytona_example_2_3_8_3.smt2
1218	2	positive	assert>and	UFNIA/lahiri-cav09-storm-queries/daytona_example_2_3_8_4.smt2
1218	2	positive	assert>and	UFNIA/lahiri-cav09-storm-queries/daytona_example_3_3.smt2
1218	2	positive	assert>and	UFNIA/lahiri-cav09-storm-queries/daytona_example_2_3_6_3.smt2
1218	2	positive	assert>and	UFNIA/lahiri-cav09-storm-queries/daytona_example_2_3_6_4.smt2
1218	2	positive	assert>and	UFNIA/lahiri-cav09-storm-queries/daytona_example_2_3_8_0.smt2
1218	2	positive	assert>and	UFNIA/lahiri-cav09-storm-queries/daytona_example_2_3_8_1.smt2
1218	2	positive	assert>and	UFNIA/lahiri-cav09-storm-queries/daytona_example_2_3_2_1.smt2
1218	2	positive	assert>and	UFNIA/lahiri-cav09-storm-queries/daytona_example_2_3_2_2.smt2
1218	2	positive	assert>and	UFNIA/lahiri-cav09-storm-queries/daytona_example_2_3_2_3.smt2
1218	2	positive	assert>and	UFNIA/lahiri-cav09-storm-queries/daytona_example_2_3_2_4.smt2
1218	2	positive	assert>and	UFNIA/lahiri-cav09-storm-queries/daytona_example_2_3_4_0.smt2
1218	2	positive	assert>and	UFNIA/lahiri-cav09-storm-queries/daytona_example_2_3_4_1.smt2
1218	2	positive	assert>and	UFNIA/lahiri-cav09-storm-queries/daytona_example_2_3_4_2.smt2
1218	2	positive	assert>and	UFNIA/lahiri-cav09-storm-queries/daytona_example_2_3_4_3.smt2
1218	2	positive	assert>and	UFNIA/lahiri-cav09-storm-queries/daytona_example_2_3_4_4.smt2
1218	2	positive	assert>and	UFNIA/lahiri-cav09-storm-queries/daytona_example_2_3_6_0.smt2
1218	2	positive	assert>and	UFNIA/lahiri-cav09-storm-queries/daytona_example_2_3_6_1.smt2
1218	2	positive	assert>and	UFNIA/lahiri-cav09-storm-queries/daytona_example_2_3_6_2.smt2
1218	2	positive	assert>and	UFNIA/lahiri-cav09-storm-queries/daytona_example_4_3.smt2
1218	2	positive	assert>and	UFNIA/lahiri-cav09-storm-queries/daytona_example_5_3.smt2
1218	2	positive	assert>and	UFNIA/lahiri-cav09-storm-queries/daytona_example_cegar_2_3_1.smt2
1218	2	positive	assert>and	UFNIA/lahiri-cav09-storm-queries/daytona_example_cegar_2_3_2.smt2
1218	2	positive	assert>and	UFNIA/lahiri-cav09-storm-queries/daytona_example_cegar_2_3_3.smt2
1218	2	positive	assert>and	UFNIA/lahiri-cav09-storm-queries/daytona_example_cegar_2_3_4.smt2
