file	verdict	rc	attempts	decided_by	bound_by	last	bound_ms	total_ms	open_after	open_ms	deepest	giveup
AUFLIA/20170829-Rodin/smt1091711852231921911.smt2	unknown	0	19	none	q:mbqi	fd:bounded-completeness-unsat	2474	4641	na	na	na	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget
AUFLIA/20170829-Rodin/smt1231654042192635708.smt2	unknown	0	19	none	q:egraph	fd:bounded-completeness-unsat	2364	5795	na	na	na	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: term #14 has sort (Uninterpreted 0) that the pure-Rust BV backend cannot bit-blast
AUFLIA/20170829-Rodin/smt1266019975548548376.smt2	unknown	0	19	none	q:mbqi	fd:bounded-completeness-unsat	502	1156	na	na	na	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: term #173 has sort (Uninterpreted 1) that the pure-Rust BV backend cannot bit-blast
AUFLIA/20170829-Rodin/smt1355243903664952549.smt2	unknown	0	19	none	q:mbqi	fd:bounded-completeness-unsat	4059	6171	na	na	na	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: term #181 has sort (Uninterpreted 5) that the pure-Rust BV backend cannot bit-blast
AUFLIA/20170829-Rodin/smt1481896474875423539.smt2	unknown	0	18	none	q:uf-fmf-probe	fd:bounded-completeness-unsat	12067	24142	na	na	na	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget
AUFLIA/20170829-Rodin/smt1514353444141411009.smt2	unknown	0	19	none	q:egraph	fd:bounded-completeness-unsat	8236	17084	na	na	na	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget
AUFLIA/20170829-Rodin/smt166962401924695243.smt2	unknown	0	19	none	q:mbqi	fd:bounded-completeness-unsat	1851	3455	na	na	na	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget
AUFLIA/20170829-Rodin/smt1843139230315038241.smt2	unknown	0	19	none	q:egraph	fd:bounded-completeness-unsat	10123	14121	na	na	na	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: term #4049 has sort (Uninterpreted 0) that the pure-Rust BV backend cannot bit-blast
AUFLIA/20170829-Rodin/smt1980762352511898835.smt2	unknown	0	19	none	q:egraph	fd:bounded-completeness-unsat	11873	19682	na	na	na	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted
AUFLIA/20170829-Rodin/smt2078011795280993964.smt2	unknown	0	19	none	q:mbqi	fd:bounded-completeness-unsat	2885	8966	na	na	na	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget
